example_id,task_depth,loop,prediction,intermediate_target,intermediate_correct,final_target,final_correct,post_completion,final_margin
train-004648-83c40a180d9a4f56,1,1,N,N,True,N,True,False,9.002132415771484
train-003737-09a01dcef225297d,2,1,Y,Y,True,F,False,False,-14.237117767333984
train-003737-09a01dcef225297d,2,2,F,F,True,F,True,False,3.1261520385742188
train-004714-99115a41384001ee,3,1,Y,Y,True,S,False,False,-16.099499702453613
train-004714-99115a41384001ee,3,2,H,H,True,S,False,False,-5.446136474609375
train-004714-99115a41384001ee,3,3,S,S,True,S,True,False,1.7957286834716797
train-004891-b2f1a70a4c6c3784,4,1,F,F,True,L,False,False,-12.586785316467285
train-004891-b2f1a70a4c6c3784,4,2,K,K,True,L,False,False,-3.648331642150879
train-004891-b2f1a70a4c6c3784,4,3,N,N,True,L,False,False,-1.9567880630493164
train-004891-b2f1a70a4c6c3784,4,4,N,L,False,L,False,False,-1.2326250076293945
train-007056-0d586e67cbcb5a15,1,1,O,O,True,O,True,False,6.7642669677734375
train-006137-38ccadb94faafdaf,2,1,B,B,True,H,False,False,-9.34765625
train-006137-38ccadb94faafdaf,2,2,H,H,True,H,True,False,3.3182296752929688
train-009610-03e8ef1029de4aa6,3,1,P,P,True,A,False,False,-11.603099822998047
train-009610-03e8ef1029de4aa6,3,2,N,N,True,A,False,False,-4.823230743408203
train-009610-03e8ef1029de4aa6,3,3,A,A,True,A,True,False,0.07219314575195312
train-008107-c0d6d6d612978307,4,1,Q,Q,True,D,False,False,-15.888218879699707
train-008107-c0d6d6d612978307,4,2,V,V,True,D,False,False,-5.238664627075195
train-008107-c0d6d6d612978307,4,3,E,E,True,D,False,False,-1.6512126922607422
train-008107-c0d6d6d612978307,4,4,E,D,False,D,False,False,-1.4311132431030273
train-002000-ae67e35d9855b2c4,1,1,P,P,True,P,True,False,8.763856887817383
train-000641-68f09a70cc19d59d,2,1,B,B,True,U,False,False,-10.794902801513672
train-000641-68f09a70cc19d59d,2,2,U,U,True,U,True,False,5.39457893371582
train-001314-b166b2b679c9e4ea,3,1,Q,Q,True,A,False,False,-14.767677307128906
train-001314-b166b2b679c9e4ea,3,2,V,V,True,A,False,False,-2.5755996704101562
train-001314-b166b2b679c9e4ea,3,3,A,A,True,A,True,False,1.1561107635498047
train-005939-182e2b650f37d23e,4,1,F,F,True,D,False,False,-11.998662948608398
train-005939-182e2b650f37d23e,4,2,W,W,True,D,False,False,-2.4154930114746094
train-005939-182e2b650f37d23e,4,3,D,J,False,D,True,False,0.644256591796875
