example_id,task_depth,loop,prediction,intermediate_target,intermediate_correct,final_target,final_correct,post_completion,final_margin
train-004648-83c40a180d9a4f56,1,1,N,N,True,N,True,False,9.50888442993164
train-003737-09a01dcef225297d,2,1,Y,Y,True,F,False,False,-18.33954620361328
train-003737-09a01dcef225297d,2,2,F,F,True,F,True,False,13.741036415100098
train-004714-99115a41384001ee,3,1,Y,Y,True,S,False,False,-19.43460750579834
train-004714-99115a41384001ee,3,2,H,H,True,S,False,False,-8.975137710571289
train-004714-99115a41384001ee,3,3,S,S,True,S,True,False,9.041219711303711
train-004891-b2f1a70a4c6c3784,4,1,F,F,True,L,False,False,-15.577885627746582
train-004891-b2f1a70a4c6c3784,4,2,K,K,True,L,False,False,-8.351118087768555
train-004891-b2f1a70a4c6c3784,4,3,N,N,True,L,False,False,-4.076340675354004
train-004891-b2f1a70a4c6c3784,4,4,L,L,True,L,True,False,1.989776611328125
train-007056-0d586e67cbcb5a15,1,1,O,O,True,O,True,False,7.549800872802734
train-006137-38ccadb94faafdaf,2,1,B,B,True,H,False,False,-11.341800689697266
train-006137-38ccadb94faafdaf,2,2,H,H,True,H,True,False,9.51655101776123
train-009610-03e8ef1029de4aa6,3,1,P,P,True,A,False,False,-15.794095993041992
train-009610-03e8ef1029de4aa6,3,2,N,N,True,A,False,False,-6.420509338378906
train-009610-03e8ef1029de4aa6,3,3,A,A,True,A,True,False,7.153402328491211
train-008107-c0d6d6d612978307,4,1,Q,Q,True,D,False,False,-15.815773010253906
train-008107-c0d6d6d612978307,4,2,V,V,True,D,False,False,-9.031235694885254
train-008107-c0d6d6d612978307,4,3,E,E,True,D,False,False,-3.3233118057250977
train-008107-c0d6d6d612978307,4,4,D,D,True,D,True,False,0.9366741180419922
train-002000-ae67e35d9855b2c4,1,1,P,P,True,P,True,False,7.214780807495117
train-000641-68f09a70cc19d59d,2,1,B,B,True,U,False,False,-14.399673461914062
train-000641-68f09a70cc19d59d,2,2,U,U,True,U,True,False,10.624292373657227
train-001314-b166b2b679c9e4ea,3,1,Q,Q,True,A,False,False,-19.251115798950195
train-001314-b166b2b679c9e4ea,3,2,V,V,True,A,False,False,-13.97714900970459
train-001314-b166b2b679c9e4ea,3,3,A,A,True,A,True,False,6.382157325744629
train-005939-182e2b650f37d23e,4,1,F,F,True,D,False,False,-12.460701942443848
train-005939-182e2b650f37d23e,4,2,W,W,True,D,False,False,-8.29249095916748
train-005939-182e2b650f37d23e,4,3,D,J,False,D,True,False,0.4953804016113281
train-005939-182e2b650f37d23e,4,4,D,D,True,D,True,False,4.117509841918945
train-001136-ac52937aa9aa2d14,1,1,D,D,True,D,True,False,10.477823257446289
train-005473-aef6edbd7667270b,2,1,A,A,True,L,False,False,-14.59994888305664
train-005473-aef6edbd7667270b,2,2,L,L,True,L,True,False,6.9503374099731445
train-006562-5586330a310b8442,3,1,Y,Y,True,Z,False,False,-15.724950790405273
train-006562-5586330a310b8442,3,2,K,K,True,Z,False,False,-10.278190612792969
train-006562-5586330a310b8442,3,3,Z,Z,True,Z,True,False,6.909205436706543
train-004179-4e78e3569b88052d,4,1,E,E,True,M,False,False,-10.93277359008789
train-004179-4e78e3569b88052d,4,2,R,R,True,M,False,False,-9.999995231628418
train-004179-4e78e3569b88052d,4,3,O,O,True,M,False,False,-2.5039730072021484
train-004179-4e78e3569b88052d,4,4,M,M,True,M,True,False,2.453120231628418
train-009320-8864c40348ba8b2f,1,1,L,L,True,L,True,False,13.372130393981934
train-001081-6446f3b521b445a4,2,1,X,X,True,P,False,False,-14.816691398620605
train-001081-6446f3b521b445a4,2,2,P,P,True,P,True,False,11.50661849975586
train-001642-6899983b3808643c,3,1,D,D,True,J,False,False,-13.925596237182617
train-001642-6899983b3808643c,3,2,F,F,True,J,False,False,-12.139616012573242
train-001642-6899983b3808643c,3,3,J,J,True,J,True,False,5.257808685302734
train-001155-eefdfe1ab39b61e2,4,1,T,T,True,B,False,False,-10.738840103149414
train-001155-eefdfe1ab39b61e2,4,2,A,A,True,B,False,False,-9.082637786865234
train-001155-eefdfe1ab39b61e2,4,3,N,N,True,B,False,False,-0.3310356140136719
train-001155-eefdfe1ab39b61e2,4,4,B,B,True,B,True,False,3.4352025985717773
train-006848-b61bc4c184905b2e,1,1,I,I,True,I,True,False,10.718996047973633
train-001185-aaf9d2b2758766d8,2,1,N,N,True,I,False,False,-17.86439323425293
train-001185-aaf9d2b2758766d8,2,2,I,I,True,I,True,False,7.150959014892578
train-004042-854a8077f22b1779,3,1,Y,Y,True,M,False,False,-15.085514068603516
train-004042-854a8077f22b1779,3,2,W,W,True,M,False,False,-9.680118560791016
train-004042-854a8077f22b1779,3,3,M,M,True,M,True,False,9.736217498779297
train-003539-1806268616c07bc0,4,1,O,O,True,K,False,False,-17.836071014404297
train-003539-1806268616c07bc0,4,2,X,X,True,K,False,False,-5.45086669921875
train-003539-1806268616c07bc0,4,3,S,S,True,K,False,False,-1.6807117462158203
train-003539-1806268616c07bc0,4,4,K,K,True,K,True,False,2.52335262298584
train-005248-39bb4de95b8d5bb5,1,1,K,K,True,K,True,False,10.41306209564209
train-000793-4630455356dcb706,2,1,G,G,True,B,False,False,-11.88875961303711
train-000793-4630455356dcb706,2,2,B,B,True,B,True,False,13.513897895812988
train-001338-d1072f01b230d8c1,3,1,X,X,True,K,False,False,-17.772679328918457
train-001338-d1072f01b230d8c1,3,2,H,H,True,K,False,False,-12.21540641784668
train-001338-d1072f01b230d8c1,3,3,K,K,True,K,True,False,3.3586254119873047
train-008211-040b3b5923f7d26d,4,1,B,B,True,I,False,False,-16.757885932922363
train-008211-040b3b5923f7d26d,4,2,F,F,True,I,False,False,-10.542684555053711
train-008211-040b3b5923f7d26d,4,3,L,L,True,I,False,False,-0.3693695068359375
train-008211-040b3b5923f7d26d,4,4,I,I,True,I,True,False,2.712874412536621
train-004688-913cad12619bcee8,1,1,J,J,True,J,True,False,14.726343154907227
train-007313-c8c185b97e25cdd9,2,1,X,X,True,E,False,False,-20.558531761169434
train-007313-c8c185b97e25cdd9,2,2,E,E,True,E,True,False,10.091815948486328
train-001618-a4392d1078b9d7c6,3,1,F,F,True,P,False,False,-14.301169395446777
train-001618-a4392d1078b9d7c6,3,2,M,M,True,P,False,False,-8.65726089477539
train-001618-a4392d1078b9d7c6,3,3,P,P,True,P,True,False,5.527088165283203
train-006411-9608362fa0298403,4,1,R,R,True,E,False,False,-16.92257785797119
train-006411-9608362fa0298403,4,2,U,U,True,E,False,False,-7.865500450134277
train-006411-9608362fa0298403,4,3,T,T,True,E,False,False,-3.593693733215332
train-006411-9608362fa0298403,4,4,E,E,True,E,True,False,0.2184600830078125
