example_id,task_depth,loop,prediction,intermediate_target,intermediate_correct,final_target,final_correct,post_completion,final_margin
train-004648-83c40a180d9a4f56,1,1,N,N,True,N,True,False,11.858556747436523
train-003737-09a01dcef225297d,2,1,Y,Y,True,F,False,False,-19.354820251464844
train-003737-09a01dcef225297d,2,2,F,F,True,F,True,False,15.698074340820312
train-004714-99115a41384001ee,3,1,Y,Y,True,S,False,False,-20.343896865844727
train-004714-99115a41384001ee,3,2,H,H,True,S,False,False,-12.441791534423828
train-004714-99115a41384001ee,3,3,S,S,True,S,True,False,7.613677978515625
train-004891-b2f1a70a4c6c3784,4,1,F,F,True,L,False,False,-16.98528289794922
train-004891-b2f1a70a4c6c3784,4,2,K,K,True,L,False,False,-9.53210163116455
train-004891-b2f1a70a4c6c3784,4,3,N,N,True,L,False,False,-3.61563777923584
train-004891-b2f1a70a4c6c3784,4,4,L,L,True,L,True,False,4.461505889892578
train-007056-0d586e67cbcb5a15,1,1,O,O,True,O,True,False,10.916360855102539
train-006137-38ccadb94faafdaf,2,1,B,B,True,H,False,False,-12.425888061523438
train-006137-38ccadb94faafdaf,2,2,H,H,True,H,True,False,10.980260848999023
train-009610-03e8ef1029de4aa6,3,1,P,P,True,A,False,False,-9.02210807800293
train-009610-03e8ef1029de4aa6,3,2,N,N,True,A,False,False,-12.272971153259277
train-009610-03e8ef1029de4aa6,3,3,A,A,True,A,True,False,3.2999534606933594
train-008107-c0d6d6d612978307,4,1,Q,Q,True,D,False,False,-17.804201126098633
train-008107-c0d6d6d612978307,4,2,V,V,True,D,False,False,-12.165096282958984
train-008107-c0d6d6d612978307,4,3,E,E,True,D,False,False,-7.7316999435424805
train-008107-c0d6d6d612978307,4,4,D,D,True,D,True,False,2.160726547241211
train-002000-ae67e35d9855b2c4,1,1,P,P,True,P,True,False,11.997697830200195
train-000641-68f09a70cc19d59d,2,1,B,B,True,U,False,False,-14.632556915283203
train-000641-68f09a70cc19d59d,2,2,U,U,True,U,True,False,13.169265747070312
train-001314-b166b2b679c9e4ea,3,1,Q,Q,True,A,False,False,-19.856769561767578
train-001314-b166b2b679c9e4ea,3,2,V,V,True,A,False,False,-6.695112228393555
train-001314-b166b2b679c9e4ea,3,3,A,A,True,A,True,False,7.504809379577637
train-005939-182e2b650f37d23e,4,1,F,F,True,D,False,False,-14.633193969726562
train-005939-182e2b650f37d23e,4,2,W,W,True,D,False,False,-10.892314910888672
train-005939-182e2b650f37d23e,4,3,J,J,True,D,False,False,-8.80057144165039
train-005939-182e2b650f37d23e,4,4,J,D,False,D,False,False,-1.0417289733886719
train-001136-ac52937aa9aa2d14,1,1,D,D,True,D,True,False,8.912530899047852
train-005473-aef6edbd7667270b,2,1,A,A,True,L,False,False,-16.542455673217773
train-005473-aef6edbd7667270b,2,2,L,L,True,L,True,False,14.395176887512207
train-006562-5586330a310b8442,3,1,Y,Y,True,Z,False,False,-18.60789203643799
train-006562-5586330a310b8442,3,2,K,K,True,Z,False,False,-12.52570915222168
train-006562-5586330a310b8442,3,3,Z,Z,True,Z,True,False,6.014400482177734
train-004179-4e78e3569b88052d,4,1,E,E,True,M,False,False,-12.33923625946045
train-004179-4e78e3569b88052d,4,2,R,R,True,M,False,False,-13.243913650512695
train-004179-4e78e3569b88052d,4,3,O,O,True,M,False,False,-2.4164180755615234
train-004179-4e78e3569b88052d,4,4,M,M,True,M,True,False,2.829740524291992
train-009320-8864c40348ba8b2f,1,1,L,L,True,L,True,False,12.054389953613281
train-001081-6446f3b521b445a4,2,1,X,X,True,P,False,False,-14.883681297302246
train-001081-6446f3b521b445a4,2,2,P,P,True,P,True,False,11.943424224853516
train-001642-6899983b3808643c,3,1,D,D,True,J,False,False,-16.7312593460083
