example_id,task_depth,loop,prediction,intermediate_target,intermediate_correct,final_target,final_correct,post_completion,final_margin
train-004648-83c40a180d9a4f56,1,1,N,N,True,N,True,False,9.81783676147461
train-003737-09a01dcef225297d,2,1,Y,Y,True,F,False,False,-17.794761657714844
train-003737-09a01dcef225297d,2,2,F,F,True,F,True,False,8.758636474609375
train-004714-99115a41384001ee,3,1,Y,Y,True,S,False,False,-19.1497802734375
train-004714-99115a41384001ee,3,2,H,H,True,S,False,False,-7.733362197875977
train-004714-99115a41384001ee,3,3,S,S,True,S,True,False,5.287345886230469
train-004891-b2f1a70a4c6c3784,4,1,F,F,True,L,False,False,-13.791701316833496
train-004891-b2f1a70a4c6c3784,4,2,K,K,True,L,False,False,-7.463014602661133
train-004891-b2f1a70a4c6c3784,4,3,N,N,True,L,False,False,-2.6062631607055664
train-004891-b2f1a70a4c6c3784,4,4,N,L,False,L,False,False,-0.4034843444824219
train-007056-0d586e67cbcb5a15,1,1,O,O,True,O,True,False,7.549192428588867
train-006137-38ccadb94faafdaf,2,1,B,B,True,H,False,False,-11.552032470703125
train-006137-38ccadb94faafdaf,2,2,H,H,True,H,True,False,6.012256622314453
train-009610-03e8ef1029de4aa6,3,1,P,P,True,A,False,False,-16.0498685836792
train-009610-03e8ef1029de4aa6,3,2,N,N,True,A,False,False,-7.18780517578125
train-009610-03e8ef1029de4aa6,3,3,A,A,True,A,True,False,1.8889789581298828
train-008107-c0d6d6d612978307,4,1,Q,Q,True,D,False,False,-16.396358489990234
train-008107-c0d6d6d612978307,4,2,V,V,True,D,False,False,-7.908473968505859
train-008107-c0d6d6d612978307,4,3,D,E,False,D,True,False,0.8542022705078125
train-008107-c0d6d6d612978307,4,4,D,D,True,D,True,False,1.9607257843017578
train-002000-ae67e35d9855b2c4,1,1,P,P,True,P,True,False,9.164600372314453
train-000641-68f09a70cc19d59d,2,1,B,B,True,U,False,False,-13.09360122680664
train-000641-68f09a70cc19d59d,2,2,U,U,True,U,True,False,5.662660598754883
train-001314-b166b2b679c9e4ea,3,1,Q,Q,True,A,False,False,-18.001815795898438
train-001314-b166b2b679c9e4ea,3,2,V,V,True,A,False,False,-7.253419876098633
train-001314-b166b2b679c9e4ea,3,3,A,A,True,A,True,False,3.45623779296875
train-005939-182e2b650f37d23e,4,1,F,F,True,D,False,False,-13.646350860595703
train-005939-182e2b650f37d23e,4,2,W,W,True,D,False,False,-7.401829719543457
train-005939-182e2b650f37d23e,4,3,J,J,True,D,False,False,-3.6033010482788086
train-005939-182e2b650f37d23e,4,4,J,D,False,D,False,False,-2.030071258544922
train-001136-ac52937aa9aa2d14,1,1,D,D,True,D,True,False,10.83515739440918
train-005473-aef6edbd7667270b,2,1,A,A,True,L,False,False,-14.99410343170166
train-005473-aef6edbd7667270b,2,2,L,L,True,L,True,False,5.243549346923828
train-006562-5586330a310b8442,3,1,Y,Y,True,Z,False,False,-17.94568157196045
train-006562-5586330a310b8442,3,2,K,K,True,Z,False,False,-10.869155883789062
train-006562-5586330a310b8442,3,3,Z,Z,True,Z,True,False,0.7601509094238281
train-004179-4e78e3569b88052d,4,1,E,E,True,M,False,False,-14.348062515258789
train-004179-4e78e3569b88052d,4,2,R,R,True,M,False,False,-6.697820663452148
train-004179-4e78e3569b88052d,4,3,M,O,False,M,True,False,0.7167949676513672
train-004179-4e78e3569b88052d,4,4,M,M,True,M,True,False,2.7345218658447266
train-009320-8864c40348ba8b2f,1,1,L,L,True,L,True,False,12.480112075805664
train-001081-6446f3b521b445a4,2,1,X,X,True,P,False,False,-14.643959045410156
train-001081-6446f3b521b445a4,2,2,P,P,True,P,True,False,7.467798233032227
train-001642-6899983b3808643c,3,1,D,D,True,J,False,False,-16.64893341064453
train-001642-6899983b3808643c,3,2,F,F,True,J,False,False,-8.568307876586914
train-001642-6899983b3808643c,3,3,F,J,False,J,False,False,-0.3364830017089844
train-001155-eefdfe1ab39b61e2,4,1,T,T,True,B,False,False,-11.446086883544922
train-001155-eefdfe1ab39b61e2,4,2,A,A,True,B,False,False,-6.608791351318359
train-001155-eefdfe1ab39b61e2,4,3,N,N,True,B,False,False,-1.1607036590576172
train-001155-eefdfe1ab39b61e2,4,4,B,B,True,B,True,False,1.3733205795288086
train-006848-b61bc4c184905b2e,1,1,I,I,True,I,True,False,12.742521286010742
train-001185-aaf9d2b2758766d8,2,1,N,N,True,I,False,False,-16.502449989318848
train-001185-aaf9d2b2758766d8,2,2,I,I,True,I,True,False,6.134498596191406
train-004042-854a8077f22b1779,3,1,Y,Y,True,M,False,False,-13.772758483886719
train-004042-854a8077f22b1779,3,2,W,W,True,M,False,False,-7.661334991455078
train-004042-854a8077f22b1779,3,3,M,M,True,M,True,False,3.6222496032714844
train-003539-1806268616c07bc0,4,1,O,O,True,K,False,False,-17.890891075134277
train-003539-1806268616c07bc0,4,2,X,X,True,K,False,False,-4.8859100341796875
train-003539-1806268616c07bc0,4,3,X,S,False,K,False,False,-0.591461181640625
train-003539-1806268616c07bc0,4,4,K,K,True,K,True,False,2.350770950317383
train-005248-39bb4de95b8d5bb5,1,1,K,K,True,K,True,False,11.554970741271973
train-000793-4630455356dcb706,2,1,G,G,True,B,False,False,-11.25926399230957
train-000793-4630455356dcb706,2,2,B,B,True,B,True,False,10.267395973205566
train-001338-d1072f01b230d8c1,3,1,X,X,True,K,False,False,-18.157357215881348
train-001338-d1072f01b230d8c1,3,2,H,H,True,K,False,False,-7.461465835571289
train-001338-d1072f01b230d8c1,3,3,K,K,True,K,True,False,2.0545730590820312
train-008211-040b3b5923f7d26d,4,1,B,B,True,I,False,False,-15.49743366241455
train-008211-040b3b5923f7d26d,4,2,F,F,True,I,False,False,-4.854610443115234
train-008211-040b3b5923f7d26d,4,3,L,L,True,I,False,False,-0.43462657928466797
train-008211-040b3b5923f7d26d,4,4,I,I,True,I,True,False,0.824284553527832
train-004688-913cad12619bcee8,1,1,J,J,True,J,True,False,14.550479888916016
