example_id,task_depth,loop,prediction,intermediate_target,intermediate_correct,final_target,final_correct,post_completion,final_margin
train-004648-83c40a180d9a4f56,1,1,N,N,True,N,True,False,1.5949268341064453
train-003737-09a01dcef225297d,2,1,Y,Y,True,F,False,False,-2.0556440353393555
train-003737-09a01dcef225297d,2,2,Q,F,False,F,False,False,-1.0858526229858398
train-004714-99115a41384001ee,3,1,Y,Y,True,S,False,False,-1.9249982833862305
train-004714-99115a41384001ee,3,2,Y,H,False,S,False,False,-0.9267377853393555
train-004714-99115a41384001ee,3,3,C,S,False,S,False,False,-0.14708709716796875
train-004891-b2f1a70a4c6c3784,4,1,F,F,True,L,False,False,-3.5650129318237305
train-004891-b2f1a70a4c6c3784,4,2,E,K,False,L,False,False,-1.4002037048339844
train-004891-b2f1a70a4c6c3784,4,3,C,N,False,L,False,False,-1.7290544509887695
train-004891-b2f1a70a4c6c3784,4,4,C,L,False,L,False,False,-1.8626155853271484
train-007056-0d586e67cbcb5a15,1,1,O,O,True,O,True,False,3.3355607986450195
train-006137-38ccadb94faafdaf,2,1,B,B,True,H,False,False,-3.7573604583740234
train-006137-38ccadb94faafdaf,2,2,Q,H,False,H,False,False,-0.9129123687744141
train-009610-03e8ef1029de4aa6,3,1,P,P,True,A,False,False,-1.781991958618164
train-009610-03e8ef1029de4aa6,3,2,C,N,False,A,False,False,-0.27372264862060547
train-009610-03e8ef1029de4aa6,3,3,C,A,False,A,False,False,-0.24007892608642578
train-008107-c0d6d6d612978307,4,1,Q,Q,True,D,False,False,-2.2312374114990234
train-008107-c0d6d6d612978307,4,2,Q,V,False,D,False,False,-0.5510778427124023
train-008107-c0d6d6d612978307,4,3,S,E,False,D,False,False,-0.6049423217773438
train-008107-c0d6d6d612978307,4,4,S,D,False,D,False,False,-0.775813102722168
train-002000-ae67e35d9855b2c4,1,1,P,P,True,P,True,False,0.8030147552490234
train-000641-68f09a70cc19d59d,2,1,B,B,True,U,False,False,-3.8107986450195312
train-000641-68f09a70cc19d59d,2,2,Q,U,False,U,False,False,-1.4826889038085938
train-001314-b166b2b679c9e4ea,3,1,Q,Q,True,A,False,False,-4.094415664672852
train-001314-b166b2b679c9e4ea,3,2,C,V,False,A,False,False,-0.2903099060058594
