example_id,task_depth,loop,prediction,intermediate_target,intermediate_correct,final_target,final_correct,post_completion,final_margin
train-004648-83c40a180d9a4f56,1,1,N,N,True,N,True,False,6.918813705444336
train-003737-09a01dcef225297d,2,1,Y,Y,True,F,False,False,-10.248706817626953
train-003737-09a01dcef225297d,2,2,F,F,True,F,True,False,0.4515113830566406
train-004714-99115a41384001ee,3,1,Y,Y,True,S,False,False,-13.280414581298828
train-004714-99115a41384001ee,3,2,H,H,True,S,False,False,-3.639486312866211
train-004714-99115a41384001ee,3,3,H,S,False,S,False,False,-0.3878755569458008
train-004891-b2f1a70a4c6c3784,4,1,F,F,True,L,False,False,-10.486242294311523
train-004891-b2f1a70a4c6c3784,4,2,N,K,False,L,False,False,-0.2677936553955078
train-004891-b2f1a70a4c6c3784,4,3,N,N,True,L,False,False,-1.2328338623046875
train-004891-b2f1a70a4c6c3784,4,4,N,L,False,L,False,False,-0.9310274124145508
train-007056-0d586e67cbcb5a15,1,1,O,O,True,O,True,False,6.5086774826049805
train-006137-38ccadb94faafdaf,2,1,B,B,True,H,False,False,-6.364526748657227
train-006137-38ccadb94faafdaf,2,2,H,H,True,H,True,False,2.886124610900879
train-009610-03e8ef1029de4aa6,3,1,P,P,True,A,False,False,-3.1747074127197266
train-009610-03e8ef1029de4aa6,3,2,N,N,True,A,False,False,-3.2391300201416016
train-009610-03e8ef1029de4aa6,3,3,J,A,False,A,False,False,-1.6097030639648438
train-008107-c0d6d6d612978307,4,1,Q,Q,True,D,False,False,-13.911532402038574
train-008107-c0d6d6d612978307,4,2,V,V,True,D,False,False,-3.1759033203125
train-008107-c0d6d6d612978307,4,3,E,E,True,D,False,False,-1.5923633575439453
train-008107-c0d6d6d612978307,4,4,E,D,False,D,False,False,-1.6190967559814453
train-002000-ae67e35d9855b2c4,1,1,P,P,True,P,True,False,6.070560455322266
train-000641-68f09a70cc19d59d,2,1,B,B,True,U,False,False,-7.261016845703125
train-000641-68f09a70cc19d59d,2,2,U,U,True,U,True,False,2.3379859924316406
train-001314-b166b2b679c9e4ea,3,1,Q,Q,True,A,False,False,-11.251239776611328
train-001314-b166b2b679c9e4ea,3,2,V,V,True,A,False,False,-2.7688846588134766
train-001314-b166b2b679c9e4ea,3,3,A,A,True,A,True,False,0.2249755859375
train-005939-182e2b650f37d23e,4,1,F,F,True,D,False,False,-9.149639129638672
train-005939-182e2b650f37d23e,4,2,W,W,True,D,False,False,-1.8764467239379883
train-005939-182e2b650f37d23e,4,3,D,J,False,D,True,False,0.6594066619873047
train-005939-182e2b650f37d23e,4,4,D,D,True,D,True,False,0.8528499603271484
train-001136-ac52937aa9aa2d14,1,1,D,D,True,D,True,False,7.497348785400391
train-005473-aef6edbd7667270b,2,1,A,A,True,L,False,False,-9.810803413391113
train-005473-aef6edbd7667270b,2,2,L,L,True,L,True,False,2.2886791229248047
train-006562-5586330a310b8442,3,1,Y,Y,True,Z,False,False,-11.558197021484375
train-006562-5586330a310b8442,3,2,K,K,True,Z,False,False,-0.7669200897216797
train-006562-5586330a310b8442,3,3,K,Z,False,Z,False,False,-0.08078956604003906
train-004179-4e78e3569b88052d,4,1,E,E,True,M,False,False,-10.086386680603027
train-004179-4e78e3569b88052d,4,2,O,R,False,M,False,False,-2.5846290588378906
train-004179-4e78e3569b88052d,4,3,O,O,True,M,False,False,-0.5385894775390625
train-004179-4e78e3569b88052d,4,4,O,M,False,M,False,False,-0.10514259338378906
train-009320-8864c40348ba8b2f,1,1,L,L,True,L,True,False,7.57114315032959
train-001081-6446f3b521b445a4,2,1,X,X,True,P,False,False,-9.463272094726562
train-001081-6446f3b521b445a4,2,2,P,P,True,P,True,False,2.6036853790283203
train-001642-6899983b3808643c,3,1,D,D,True,J,False,False,-13.25838565826416
train-001642-6899983b3808643c,3,2,F,F,True,J,False,False,-3.700450897216797
train-001642-6899983b3808643c,3,3,F,J,False,J,False,False,-1.6349163055419922
train-001155-eefdfe1ab39b61e2,4,1,T,T,True,B,False,False,-8.425700187683105
train-001155-eefdfe1ab39b61e2,4,2,A,A,True,B,False,False,-3.1065006256103516
train-001155-eefdfe1ab39b61e2,4,3,A,N,False,B,False,False,-0.7199649810791016
train-001155-eefdfe1ab39b61e2,4,4,B,B,True,B,True,False,0.09067916870117188
train-006848-b61bc4c184905b2e,1,1,I,I,True,I,True,False,9.295226097106934
train-001185-aaf9d2b2758766d8,2,1,N,N,True,I,False,False,-12.063621520996094
train-001185-aaf9d2b2758766d8,2,2,I,I,True,I,True,False,2.2467041015625
train-004042-854a8077f22b1779,3,1,Y,Y,True,M,False,False,-10.138723373413086
train-004042-854a8077f22b1779,3,2,W,W,True,M,False,False,-1.3321952819824219
train-004042-854a8077f22b1779,3,3,K,M,False,M,False,False,-0.1700878143310547
train-003539-1806268616c07bc0,4,1,O,O,True,K,False,False,-12.61154842376709
train-003539-1806268616c07bc0,4,2,S,X,False,K,False,False,-1.1508598327636719
train-003539-1806268616c07bc0,4,3,S,S,True,K,False,False,-0.936737060546875
train-003539-1806268616c07bc0,4,4,S,K,False,K,False,False,-0.7738170623779297
train-005248-39bb4de95b8d5bb5,1,1,K,K,True,K,True,False,7.6858673095703125
train-000793-4630455356dcb706,2,1,G,G,True,B,False,False,-4.9510650634765625
train-000793-4630455356dcb706,2,2,B,B,True,B,True,False,2.724071502685547
train-001338-d1072f01b230d8c1,3,1,X,X,True,K,False,False,-12.920148849487305
train-001338-d1072f01b230d8c1,3,2,H,H,True,K,False,False,-5.146726608276367
train-001338-d1072f01b230d8c1,3,3,I,K,False,K,False,False,-2.767190933227539
train-008211-040b3b5923f7d26d,4,1,B,B,True,I,False,False,-10.031150817871094
train-008211-040b3b5923f7d26d,4,2,L,F,False,I,False,False,-3.893040657043457
train-008211-040b3b5923f7d26d,4,3,L,L,True,I,False,False,-2.3805322647094727
train-008211-040b3b5923f7d26d,4,4,L,I,False,I,False,False,-2.168895721435547
train-004688-913cad12619bcee8,1,1,J,J,True,J,True,False,7.608848571777344
train-007313-c8c185b97e25cdd9,2,1,X,X,True,E,False,False,-12.216756820678711
train-007313-c8c185b97e25cdd9,2,2,E,E,True,E,True,False,5.057952880859375
train-001618-a4392d1078b9d7c6,3,1,F,F,True,P,False,False,-10.564596176147461
train-001618-a4392d1078b9d7c6,3,2,M,M,True,P,False,False,-5.62811279296875
train-001618-a4392d1078b9d7c6,3,3,M,P,False,P,False,False,-1.7961616516113281
train-006411-9608362fa0298403,4,1,R,R,True,E,False,False,-11.56781005859375
train-006411-9608362fa0298403,4,2,U,U,True,E,False,False,-0.08485221862792969
train-006411-9608362fa0298403,4,3,E,T,False,E,True,False,0.4533090591430664
train-006411-9608362fa0298403,4,4,E,E,True,E,True,False,0.5190153121948242
