example_id,task_depth,loop,prediction,intermediate_target,intermediate_correct,final_target,final_correct,post_completion,final_margin
train-004648-83c40a180d9a4f56,1,1,N,N,True,N,True,False,7.580678939819336
train-003737-09a01dcef225297d,2,1,Y,Y,True,F,False,False,-9.493075370788574
train-003737-09a01dcef225297d,2,2,F,F,True,F,True,False,0.9521236419677734
train-004714-99115a41384001ee,3,1,Y,Y,True,S,False,False,-12.034446716308594
train-004714-99115a41384001ee,3,2,H,H,True,S,False,False,-2.763387680053711
train-004714-99115a41384001ee,3,3,H,S,False,S,False,False,-1.4984149932861328
train-004891-b2f1a70a4c6c3784,4,1,F,F,True,L,False,False,-9.435450553894043
train-004891-b2f1a70a4c6c3784,4,2,F,K,False,L,False,False,-2.6892337799072266
train-004891-b2f1a70a4c6c3784,4,3,F,N,False,L,False,False,-2.2367992401123047
train-004891-b2f1a70a4c6c3784,4,4,J,L,False,L,False,False,-1.5867300033569336
train-007056-0d586e67cbcb5a15,1,1,O,O,True,O,True,False,8.144574165344238
train-006137-38ccadb94faafdaf,2,1,B,B,True,H,False,False,-8.23560619354248
train-006137-38ccadb94faafdaf,2,2,H,H,True,H,True,False,0.9783248901367188
train-009610-03e8ef1029de4aa6,3,1,P,P,True,A,False,False,-0.5056514739990234
train-009610-03e8ef1029de4aa6,3,2,H,N,False,A,False,False,-3.7585878372192383
train-009610-03e8ef1029de4aa6,3,3,H,A,False,A,False,False,-3.322751998901367
train-008107-c0d6d6d612978307,4,1,Q,Q,True,D,False,False,-12.184907913208008
train-008107-c0d6d6d612978307,4,2,V,V,True,D,False,False,-2.232602119445801
train-008107-c0d6d6d612978307,4,3,V,E,False,D,False,False,-1.4399957656860352
train-008107-c0d6d6d612978307,4,4,V,D,False,D,False,False,-1.2057228088378906
train-002000-ae67e35d9855b2c4,1,1,P,P,True,P,True,False,4.286407470703125
train-000641-68f09a70cc19d59d,2,1,B,B,True,U,False,False,-8.177431106567383
train-000641-68f09a70cc19d59d,2,2,U,U,True,U,True,False,0.8537635803222656
train-001314-b166b2b679c9e4ea,3,1,Q,Q,True,A,False,False,-11.141775131225586
train-001314-b166b2b679c9e4ea,3,2,V,V,True,A,False,False,-1.9829063415527344
train-001314-b166b2b679c9e4ea,3,3,Q,A,False,A,False,False,-0.65509033203125
train-005939-182e2b650f37d23e,4,1,F,F,True,D,False,False,-9.110127449035645
train-005939-182e2b650f37d23e,4,2,W,W,True,D,False,False,-0.4857673645019531
train-005939-182e2b650f37d23e,4,3,D,J,False,D,True,False,0.523320198059082
train-005939-182e2b650f37d23e,4,4,E,D,False,D,False,False,-0.07615280151367188
train-001136-ac52937aa9aa2d14,1,1,D,D,True,D,True,False,5.165447235107422
train-005473-aef6edbd7667270b,2,1,A,A,True,L,False,False,-9.151592254638672
train-005473-aef6edbd7667270b,2,2,L,L,True,L,True,False,2.900392532348633
train-006562-5586330a310b8442,3,1,Y,Y,True,Z,False,False,-9.258438110351562
train-006562-5586330a310b8442,3,2,Z,K,False,Z,True,False,0.2746696472167969
train-006562-5586330a310b8442,3,3,Z,Z,True,Z,True,False,0.20564842224121094
train-004179-4e78e3569b88052d,4,1,E,E,True,M,False,False,-10.198862075805664
train-004179-4e78e3569b88052d,4,2,E,R,False,M,False,False,-1.7396564483642578
train-004179-4e78e3569b88052d,4,3,L,O,False,M,False,False,-0.7220563888549805
train-004179-4e78e3569b88052d,4,4,L,M,False,M,False,False,-0.5371131896972656
train-009320-8864c40348ba8b2f,1,1,L,L,True,L,True,False,8.648003578186035
train-001081-6446f3b521b445a4,2,1,X,X,True,P,False,False,-9.597759246826172
train-001081-6446f3b521b445a4,2,2,P,P,True,P,True,False,0.3917274475097656
train-001642-6899983b3808643c,3,1,D,D,True,J,False,False,-11.962801933288574
train-001642-6899983b3808643c,3,2,F,F,True,J,False,False,-1.349320411682129
train-001642-6899983b3808643c,3,3,F,J,False,J,False,False,-1.0722427368164062
train-001155-eefdfe1ab39b61e2,4,1,T,T,True,B,False,False,-8.413501739501953
train-001155-eefdfe1ab39b61e2,4,2,T,A,False,B,False,False,-1.9590797424316406
train-001155-eefdfe1ab39b61e2,4,3,F,N,False,B,False,False,-0.2010822296142578
train-001155-eefdfe1ab39b61e2,4,4,B,B,True,B,True,False,0.07561874389648438
train-006848-b61bc4c184905b2e,1,1,I,I,True,I,True,False,10.771493911743164
train-001185-aaf9d2b2758766d8,2,1,N,N,True,I,False,False,-13.153114318847656
train-001185-aaf9d2b2758766d8,2,2,N,I,False,I,False,False,-0.8823928833007812
train-004042-854a8077f22b1779,3,1,Y,Y,True,M,False,False,-10.184182167053223
train-004042-854a8077f22b1779,3,2,W,W,True,M,False,False,-2.2425708770751953
train-004042-854a8077f22b1779,3,3,L,M,False,M,False,False,-0.8829765319824219
train-003539-1806268616c07bc0,4,1,O,O,True,K,False,False,-10.94543743133545
train-003539-1806268616c07bc0,4,2,K,X,False,K,True,False,0.06325721740722656
train-003539-1806268616c07bc0,4,3,S,S,True,K,False,False,-0.49787425994873047
train-003539-1806268616c07bc0,4,4,S,K,False,K,False,False,-0.6952838897705078
train-005248-39bb4de95b8d5bb5,1,1,K,K,True,K,True,False,9.087113380432129
train-000793-4630455356dcb706,2,1,G,G,True,B,False,False,-7.093814849853516
train-000793-4630455356dcb706,2,2,B,B,True,B,True,False,0.44126129150390625
train-001338-d1072f01b230d8c1,3,1,X,X,True,K,False,False,-12.772550582885742
train-001338-d1072f01b230d8c1,3,2,I,H,False,K,False,False,-3.6012115478515625
train-001338-d1072f01b230d8c1,3,3,I,K,False,K,False,False,-1.9044408798217773
train-008211-040b3b5923f7d26d,4,1,B,B,True,I,False,False,-10.137504577636719
train-008211-040b3b5923f7d26d,4,2,L,F,False,I,False,False,-4.161100387573242
train-008211-040b3b5923f7d26d,4,3,L,L,True,I,False,False,-3.302351951599121
train-008211-040b3b5923f7d26d,4,4,L,I,False,I,False,False,-3.122831344604492
train-004688-913cad12619bcee8,1,1,J,J,True,J,True,False,6.897390365600586
train-007313-c8c185b97e25cdd9,2,1,X,X,True,E,False,False,-12.534353256225586
train-007313-c8c185b97e25cdd9,2,2,H,E,False,E,False,False,-0.07094192504882812
train-001618-a4392d1078b9d7c6,3,1,F,F,True,P,False,False,-10.384612083435059
train-001618-a4392d1078b9d7c6,3,2,M,M,True,P,False,False,-3.626479148864746
train-001618-a4392d1078b9d7c6,3,3,M,P,False,P,False,False,-1.152358055114746
train-006411-9608362fa0298403,4,1,R,R,True,E,False,False,-10.696863174438477
train-006411-9608362fa0298403,4,2,T,U,False,E,False,False,-1.3041925430297852
train-006411-9608362fa0298403,4,3,T,T,True,E,False,False,-0.6735086441040039
train-006411-9608362fa0298403,4,4,N,E,False,E,False,False,-0.0918426513671875
