example_id,task_depth,loop,prediction,intermediate_target,intermediate_correct,final_target,final_correct,post_completion,final_margin
train-004648-83c40a180d9a4f56,1,1,N,N,True,N,True,False,10.486984252929688
train-003737-09a01dcef225297d,2,1,Y,Y,True,F,False,False,-18.273807525634766
train-003737-09a01dcef225297d,2,2,F,F,True,F,True,False,14.35167121887207
train-004714-99115a41384001ee,3,1,Y,Y,True,S,False,False,-19.842037200927734
train-004714-99115a41384001ee,3,2,H,H,True,S,False,False,-10.370399475097656
train-004714-99115a41384001ee,3,3,S,S,True,S,True,False,8.389320373535156
train-004891-b2f1a70a4c6c3784,4,1,F,F,True,L,False,False,-16.546606063842773
train-004891-b2f1a70a4c6c3784,4,2,K,K,True,L,False,False,-9.083802223205566
train-004891-b2f1a70a4c6c3784,4,3,N,N,True,L,False,False,-6.0445146560668945
train-004891-b2f1a70a4c6c3784,4,4,N,L,False,L,False,False,-0.03899383544921875
train-007056-0d586e67cbcb5a15,1,1,O,O,True,O,True,False,8.987497329711914
train-006137-38ccadb94faafdaf,2,1,B,B,True,H,False,False,-12.232217788696289
train-006137-38ccadb94faafdaf,2,2,H,H,True,H,True,False,9.10736083984375
train-009610-03e8ef1029de4aa6,3,1,P,P,True,A,False,False,-17.08571434020996
train-009610-03e8ef1029de4aa6,3,2,N,N,True,A,False,False,-9.222578048706055
train-009610-03e8ef1029de4aa6,3,3,A,A,True,A,True,False,2.7722301483154297
train-008107-c0d6d6d612978307,4,1,Q,Q,True,D,False,False,-15.839054107666016
train-008107-c0d6d6d612978307,4,2,V,V,True,D,False,False,-10.23291015625
train-008107-c0d6d6d612978307,4,3,E,E,True,D,False,False,-2.1432533264160156
train-008107-c0d6d6d612978307,4,4,D,D,True,D,True,False,3.3688430786132812
train-002000-ae67e35d9855b2c4,1,1,P,P,True,P,True,False,8.245208740234375
train-000641-68f09a70cc19d59d,2,1,B,B,True,U,False,False,-13.816144943237305
train-000641-68f09a70cc19d59d,2,2,U,U,True,U,True,False,10.64957046508789
train-001314-b166b2b679c9e4ea,3,1,Q,Q,True,A,False,False,-19.917156219482422
train-001314-b166b2b679c9e4ea,3,2,V,V,True,A,False,False,-12.035136222839355
train-001314-b166b2b679c9e4ea,3,3,A,A,True,A,True,False,7.767019271850586
train-005939-182e2b650f37d23e,4,1,F,F,True,D,False,False,-13.58225154876709
train-005939-182e2b650f37d23e,4,2,W,W,True,D,False,False,-8.354302406311035
train-005939-182e2b650f37d23e,4,3,J,J,True,D,False,False,-3.5483837127685547
train-005939-182e2b650f37d23e,4,4,D,D,True,D,True,False,1.1914196014404297
train-001136-ac52937aa9aa2d14,1,1,D,D,True,D,True,False,11.556716918945312
train-005473-aef6edbd7667270b,2,1,A,A,True,L,False,False,-15.522809982299805
train-005473-aef6edbd7667270b,2,2,L,L,True,L,True,False,5.620858192443848
train-006562-5586330a310b8442,3,1,Y,Y,True,Z,False,False,-16.97085952758789
train-006562-5586330a310b8442,3,2,K,K,True,Z,False,False,-11.245683670043945
train-006562-5586330a310b8442,3,3,Z,Z,True,Z,True,False,7.642397880554199
train-004179-4e78e3569b88052d,4,1,E,E,True,M,False,False,-11.753292083740234
train-004179-4e78e3569b88052d,4,2,R,R,True,M,False,False,-11.276230812072754
train-004179-4e78e3569b88052d,4,3,O,O,True,M,False,False,-2.9576797485351562
train-004179-4e78e3569b88052d,4,4,M,M,True,M,True,False,5.17539119720459
train-009320-8864c40348ba8b2f,1,1,L,L,True,L,True,False,13.480939865112305
train-001081-6446f3b521b445a4,2,1,X,X,True,P,False,False,-14.935477256774902
train-001081-6446f3b521b445a4,2,2,P,P,True,P,True,False,11.848552703857422
train-001642-6899983b3808643c,3,1,D,D,True,J,False,False,-13.669750213623047
train-001642-6899983b3808643c,3,2,F,F,True,J,False,False,-13.82034969329834
train-001642-6899983b3808643c,3,3,J,J,True,J,True,False,1.299032211303711
train-001155-eefdfe1ab39b61e2,4,1,T,T,True,B,False,False,-10.013092041015625
