example_id,task_depth,loop,prediction,intermediate_target,intermediate_correct,final_target,final_correct,post_completion,final_margin
train-004648-83c40a180d9a4f56,1,1,F,N,False,N,False,False,-2.443667411804199
train-003737-09a01dcef225297d,2,1,Q,Y,False,F,False,False,-0.9676856994628906
train-003737-09a01dcef225297d,2,2,Q,F,False,F,False,False,-1.1764898300170898
train-004714-99115a41384001ee,3,1,Q,Y,False,S,False,False,-0.22020626068115234
train-004714-99115a41384001ee,3,2,X,H,False,S,False,False,-0.7792530059814453
train-004714-99115a41384001ee,3,3,X,S,False,S,False,False,-0.8847036361694336
train-004891-b2f1a70a4c6c3784,4,1,Q,F,False,L,False,False,-1.149017333984375
train-004891-b2f1a70a4c6c3784,4,2,C,K,False,L,False,False,-2.1863880157470703
train-004891-b2f1a70a4c6c3784,4,3,C,N,False,L,False,False,-2.1298208236694336
train-004891-b2f1a70a4c6c3784,4,4,C,L,False,L,False,False,-2.100675582885742
train-007056-0d586e67cbcb5a15,1,1,O,O,True,O,True,False,0.27190494537353516
train-006137-38ccadb94faafdaf,2,1,M,B,False,H,False,False,-1.2362051010131836
train-006137-38ccadb94faafdaf,2,2,Q,H,False,H,False,False,-1.5113639831542969
train-009610-03e8ef1029de4aa6,3,1,B,P,False,A,False,False,-1.198507308959961
train-009610-03e8ef1029de4aa6,3,2,B,N,False,A,False,False,-0.35636043548583984
train-009610-03e8ef1029de4aa6,3,3,B,A,False,A,False,False,-0.36144256591796875
train-008107-c0d6d6d612978307,4,1,Q,Q,True,D,False,False,-1.3537416458129883
train-008107-c0d6d6d612978307,4,2,S,V,False,D,False,False,-0.8240518569946289
train-008107-c0d6d6d612978307,4,3,S,E,False,D,False,False,-0.9878053665161133
train-008107-c0d6d6d612978307,4,4,S,D,False,D,False,False,-0.9992456436157227
train-002000-ae67e35d9855b2c4,1,1,R,P,False,P,False,False,-1.9920225143432617
train-000641-68f09a70cc19d59d,2,1,Q,B,False,U,False,False,-1.3600521087646484
train-000641-68f09a70cc19d59d,2,2,Q,U,False,U,False,False,-2.728200912475586
train-001314-b166b2b679c9e4ea,3,1,Q,Q,True,A,False,False,-1.1736068725585938
train-001314-b166b2b679c9e4ea,3,2,B,V,False,A,False,False,-0.23827171325683594
train-001314-b166b2b679c9e4ea,3,3,B,A,False,A,False,False,-0.32424259185791016
train-005939-182e2b650f37d23e,4,1,T,F,False,D,False,False,-1.9290990829467773
train-005939-182e2b650f37d23e,4,2,T,W,False,D,False,False,-0.4924507141113281
train-005939-182e2b650f37d23e,4,3,A,J,False,D,False,False,-0.5017032623291016
train-005939-182e2b650f37d23e,4,4,A,D,False,D,False,False,-0.6512537002563477
train-001136-ac52937aa9aa2d14,1,1,E,D,False,D,False,False,-1.3146476745605469
train-005473-aef6edbd7667270b,2,1,W,A,False,L,False,False,-0.7243976593017578
train-005473-aef6edbd7667270b,2,2,A,L,False,L,False,False,-0.3911123275756836
train-006562-5586330a310b8442,3,1,B,Y,False,Z,False,False,-1.3681411743164062
train-006562-5586330a310b8442,3,2,B,K,False,Z,False,False,-1.7169513702392578
train-006562-5586330a310b8442,3,3,A,Z,False,Z,False,False,-1.8277702331542969
train-004179-4e78e3569b88052d,4,1,D,E,False,M,False,False,-0.8277683258056641
train-004179-4e78e3569b88052d,4,2,D,R,False,M,False,False,-1.3470888137817383
train-004179-4e78e3569b88052d,4,3,D,O,False,M,False,False,-1.2558460235595703
train-004179-4e78e3569b88052d,4,4,D,M,False,M,False,False,-1.066446304321289
train-009320-8864c40348ba8b2f,1,1,Q,L,False,L,False,False,-0.9220561981201172
train-001081-6446f3b521b445a4,2,1,T,X,False,P,False,False,-1.1403112411499023
train-001081-6446f3b521b445a4,2,2,T,P,False,P,False,False,-1.2527875900268555
train-001642-6899983b3808643c,3,1,Q,D,False,J,False,False,-1.6292743682861328
train-001642-6899983b3808643c,3,2,Q,F,False,J,False,False,-0.8329200744628906
train-001642-6899983b3808643c,3,3,Q,J,False,J,False,False,-0.9646396636962891
train-001155-eefdfe1ab39b61e2,4,1,B,T,False,B,True,False,0.01972198486328125
train-001155-eefdfe1ab39b61e2,4,2,X,A,False,B,False,False,-0.15787601470947266
train-001155-eefdfe1ab39b61e2,4,3,X,N,False,B,False,False,-0.4057321548461914
train-001155-eefdfe1ab39b61e2,4,4,X,B,False,B,False,False,-0.4759044647216797
train-006848-b61bc4c184905b2e,1,1,C,I,False,I,False,False,-2.5294790267944336
train-001185-aaf9d2b2758766d8,2,1,D,N,False,I,False,False,-1.8402385711669922
train-001185-aaf9d2b2758766d8,2,2,D,I,False,I,False,False,-1.9620428085327148
train-004042-854a8077f22b1779,3,1,R,Y,False,M,False,False,-0.7838020324707031
train-004042-854a8077f22b1779,3,2,R,W,False,M,False,False,-0.7096033096313477
train-004042-854a8077f22b1779,3,3,A,M,False,M,False,False,-0.8088655471801758
train-003539-1806268616c07bc0,4,1,Q,O,False,K,False,False,-1.035614013671875
train-003539-1806268616c07bc0,4,2,E,X,False,K,False,False,-1.6612052917480469
train-003539-1806268616c07bc0,4,3,E,S,False,K,False,False,-1.952174186706543
train-003539-1806268616c07bc0,4,4,E,K,False,K,False,False,-2.088033676147461
train-005248-39bb4de95b8d5bb5,1,1,G,K,False,K,False,False,-1.4892187118530273
train-000793-4630455356dcb706,2,1,T,G,False,B,False,False,-0.4790525436401367
train-000793-4630455356dcb706,2,2,R,B,False,B,False,False,-0.12868213653564453
train-001338-d1072f01b230d8c1,3,1,B,X,False,K,False,False,-2.2379150390625
train-001338-d1072f01b230d8c1,3,2,B,H,False,K,False,False,-1.5377283096313477
train-001338-d1072f01b230d8c1,3,3,B,K,False,K,False,False,-1.8741035461425781
train-008211-040b3b5923f7d26d,4,1,B,B,True,I,False,False,-1.7500228881835938
train-008211-040b3b5923f7d26d,4,2,U,F,False,I,False,False,-1.727208137512207
train-008211-040b3b5923f7d26d,4,3,A,L,False,I,False,False,-1.6268177032470703
train-008211-040b3b5923f7d26d,4,4,A,I,False,I,False,False,-1.7800617218017578
train-004688-913cad12619bcee8,1,1,S,J,False,J,False,False,-1.715383529663086
train-007313-c8c185b97e25cdd9,2,1,O,X,False,E,False,False,-1.3007831573486328
train-007313-c8c185b97e25cdd9,2,2,M,E,False,E,False,False,-0.6631689071655273
train-001618-a4392d1078b9d7c6,3,1,F,F,True,P,False,False,-0.6915216445922852
train-001618-a4392d1078b9d7c6,3,2,N,M,False,P,False,False,-0.9174947738647461
train-001618-a4392d1078b9d7c6,3,3,A,P,False,P,False,False,-1.1188020706176758
train-006411-9608362fa0298403,4,1,F,R,False,E,False,False,-1.0418720245361328
train-006411-9608362fa0298403,4,2,F,U,False,E,False,False,-1.1112327575683594
train-006411-9608362fa0298403,4,3,F,T,False,E,False,False,-0.9938135147094727
train-006411-9608362fa0298403,4,4,A,E,False,E,False,False,-1.0835723876953125
