example_id,task_depth,loop,prediction,intermediate_target,intermediate_correct,final_target,final_correct,post_completion,final_margin
train-007784-617a2c600ec4e3a3,1,1,M,M,True,M,True,False,7.648801803588867
train-004489-65c0020ea520dc92,2,1,P,P,True,K,False,False,-10.633267402648926
train-004489-65c0020ea520dc92,2,2,O,K,False,K,False,False,-0.16145706176757812
train-003450-00e626c020401ca6,3,1,G,G,True,V,False,False,-12.586503982543945
train-003450-00e626c020401ca6,3,2,O,Z,False,V,False,False,-0.9854469299316406
train-003450-00e626c020401ca6,3,3,W,V,False,V,False,False,-0.6805276870727539
train-006571-80d4ec6e2c52b48c,4,1,X,X,True,B,False,False,-11.960268020629883
train-006571-80d4ec6e2c52b48c,4,2,G,G,True,B,False,False,-1.1622591018676758
train-006571-80d4ec6e2c52b48c,4,3,X,S,False,B,False,False,-1.471710205078125
train-006571-80d4ec6e2c52b48c,4,4,X,B,False,B,False,False,-1.6333274841308594
train-009368-248d6f593a53b386,1,1,U,U,True,U,True,False,12.179990768432617
train-007337-544cdf598339848d,2,1,S,S,True,C,False,False,-11.832735061645508
train-007337-544cdf598339848d,2,2,Y,C,False,C,False,False,-1.6188545227050781
train-007962-a45560a716f6803b,3,1,T,T,True,N,False,False,-13.4710111618042
train-007962-a45560a716f6803b,3,2,T,D,False,N,False,False,-1.1038293838500977
train-007962-a45560a716f6803b,3,3,T,N,False,N,False,False,-1.0897626876831055
train-005771-32d4e4dc90a4581a,4,1,T,T,True,P,False,False,-8.911397933959961
train-005771-32d4e4dc90a4581a,4,2,H,Y,False,P,False,False,-0.6916561126708984
train-005771-32d4e4dc90a4581a,4,3,H,B,False,P,False,False,-0.9136018753051758
train-005771-32d4e4dc90a4581a,4,4,T,P,False,P,False,False,-1.0468873977661133
train-003584-dcb0ab56c4bed25a,1,1,F,F,True,F,True,False,11.463361740112305
train-002065-d4932c6763ee63b0,2,1,P,P,True,T,False,False,-7.861654281616211
train-002065-d4932c6763ee63b0,2,2,U,T,False,T,False,False,-2.148387908935547
train-001642-6899983b3808643c,3,1,D,D,True,J,False,False,-16.828518867492676
train-001642-6899983b3808643c,3,2,Z,F,False,J,False,False,-2.3521108627319336
train-001642-6899983b3808643c,3,3,Z,J,False,J,False,False,-1.4248313903808594
train-001131-c8e52f8b477ff1f2,4,1,G,G,True,R,False,False,-15.313040733337402
train-001131-c8e52f8b477ff1f2,4,2,M,Y,False,R,False,False,-1.0157623291015625
train-001131-c8e52f8b477ff1f2,4,3,M,B,False,R,False,False,-1.2598943710327148
train-001131-c8e52f8b477ff1f2,4,4,B,R,False,R,False,False,-1.3828516006469727
train-001032-d09d350cd6983b6a,1,1,J,J,True,J,True,False,13.144023895263672
train-006793-0e761e6229b053d6,2,1,N,N,True,M,False,False,-13.034839630126953
train-006793-0e761e6229b053d6,2,2,N,M,False,M,False,False,-0.04558563232421875
train-001802-d91f5772d1b2cced,3,1,I,I,True,P,False,False,-16.779211044311523
train-001802-d91f5772d1b2cced,3,2,W,Y,False,P,False,False,-3.2327728271484375
train-001802-d91f5772d1b2cced,3,3,L,P,False,P,False,False,-2.3394317626953125
train-007571-8e793e79f69aa0c6,4,1,G,G,True,C,False,False,-9.524484634399414
train-007571-8e793e79f69aa0c6,4,2,Z,N,False,C,False,False,-1.7669105529785156
train-007571-8e793e79f69aa0c6,4,3,Z,B,False,C,False,False,-1.5857715606689453
train-007571-8e793e79f69aa0c6,4,4,Z,C,False,C,False,False,-1.2847213745117188
