example_id,task_depth,loop,prediction,intermediate_target,intermediate_correct,final_target,final_correct,post_completion,final_margin
train-007784-617a2c600ec4e3a3,1,1,M,M,True,M,True,False,5.68876838684082
train-004489-65c0020ea520dc92,2,1,P,P,True,K,False,False,-11.775617599487305
train-004489-65c0020ea520dc92,2,2,K,K,True,K,True,False,4.8112287521362305
train-003450-00e626c020401ca6,3,1,G,G,True,V,False,False,-0.4089488983154297
train-003450-00e626c020401ca6,3,2,Z,Z,True,V,False,False,-2.5385971069335938
train-003450-00e626c020401ca6,3,3,Y,V,False,V,False,False,-4.067513465881348
train-006571-80d4ec6e2c52b48c,4,1,X,X,True,B,False,False,-15.62539291381836
train-006571-80d4ec6e2c52b48c,4,2,G,G,True,B,False,False,-10.124258041381836
train-006571-80d4ec6e2c52b48c,4,3,X,S,False,B,False,False,-5.200723648071289
train-006571-80d4ec6e2c52b48c,4,4,A,B,False,B,False,False,-2.566173553466797
train-009368-248d6f593a53b386,1,1,U,U,True,U,True,False,9.116572380065918
train-007337-544cdf598339848d,2,1,S,S,True,C,False,False,-7.900964736938477
train-007337-544cdf598339848d,2,2,C,C,True,C,True,False,5.108469009399414
train-007962-a45560a716f6803b,3,1,T,T,True,N,False,False,-12.585746765136719
train-007962-a45560a716f6803b,3,2,D,D,True,N,False,False,-7.4325103759765625
train-007962-a45560a716f6803b,3,3,N,N,True,N,True,False,1.2143535614013672
train-005771-32d4e4dc90a4581a,4,1,T,T,True,P,False,False,-12.043063163757324
train-005771-32d4e4dc90a4581a,4,2,Y,Y,True,P,False,False,-10.351607322692871
train-005771-32d4e4dc90a4581a,4,3,B,B,True,P,False,False,-3.5486927032470703
train-005771-32d4e4dc90a4581a,4,4,O,P,False,P,False,False,-2.046398162841797
train-003584-dcb0ab56c4bed25a,1,1,F,F,True,F,True,False,9.038314819335938
train-002065-d4932c6763ee63b0,2,1,P,P,True,T,False,False,-15.026172637939453
train-002065-d4932c6763ee63b0,2,2,Y,T,False,T,False,False,-7.343942642211914
train-001642-6899983b3808643c,3,1,D,D,True,J,False,False,-11.744637489318848
train-001642-6899983b3808643c,3,2,F,F,True,J,False,False,-7.316799163818359
train-001642-6899983b3808643c,3,3,J,J,True,J,True,False,1.542388916015625
train-001131-c8e52f8b477ff1f2,4,1,G,G,True,R,False,False,-13.3709135055542
train-001131-c8e52f8b477ff1f2,4,2,Y,Y,True,R,False,False,-9.800756454467773
train-001131-c8e52f8b477ff1f2,4,3,B,B,True,R,False,False,-1.9451160430908203
train-001131-c8e52f8b477ff1f2,4,4,R,R,True,R,True,False,0.1892080307006836
train-001032-d09d350cd6983b6a,1,1,J,J,True,J,True,False,15.544878959655762
train-006793-0e761e6229b053d6,2,1,N,N,True,M,False,False,-14.656098365783691
train-006793-0e761e6229b053d6,2,2,M,M,True,M,True,False,4.147613525390625
train-001802-d91f5772d1b2cced,3,1,I,I,True,P,False,False,-14.071338653564453
train-001802-d91f5772d1b2cced,3,2,Y,Y,True,P,False,False,-5.422056198120117
train-001802-d91f5772d1b2cced,3,3,C,P,False,P,False,False,-5.355713844299316
train-007571-8e793e79f69aa0c6,4,1,G,G,True,C,False,False,-11.286623001098633
train-007571-8e793e79f69aa0c6,4,2,N,N,True,C,False,False,-6.001771926879883
train-007571-8e793e79f69aa0c6,4,3,B,B,True,C,False,False,-1.1133403778076172
train-007571-8e793e79f69aa0c6,4,4,B,C,False,C,False,False,-1.257737159729004
