example_id,task_depth,loop,prediction,intermediate_target,intermediate_correct,final_target,final_correct,post_completion,final_margin
train-007784-617a2c600ec4e3a3,1,1,B,M,False,M,False,False,-1.749070167541504
train-004489-65c0020ea520dc92,2,1,B,P,False,K,False,False,-1.755274772644043
train-004489-65c0020ea520dc92,2,2,B,K,False,K,False,False,-1.933837890625
train-003450-00e626c020401ca6,3,1,T,G,False,V,False,False,-0.8022918701171875
train-003450-00e626c020401ca6,3,2,T,Z,False,V,False,False,-0.6265697479248047
train-003450-00e626c020401ca6,3,3,A,V,False,V,False,False,-0.7529659271240234
train-006571-80d4ec6e2c52b48c,4,1,L,X,False,B,False,False,-1.37139892578125
train-006571-80d4ec6e2c52b48c,4,2,L,G,False,B,False,False,-0.5564556121826172
train-006571-80d4ec6e2c52b48c,4,3,L,S,False,B,False,False,-0.37585926055908203
train-006571-80d4ec6e2c52b48c,4,4,A,B,False,B,False,False,-0.47473812103271484
train-009368-248d6f593a53b386,1,1,M,U,False,U,False,False,-3.1208934783935547
train-007337-544cdf598339848d,2,1,Q,S,False,C,False,False,-2.098017692565918
train-007337-544cdf598339848d,2,2,Q,C,False,C,False,False,-1.6265983581542969
train-007962-a45560a716f6803b,3,1,L,T,False,N,False,False,-3.0384597778320312
train-007962-a45560a716f6803b,3,2,K,D,False,N,False,False,-1.2058124542236328
train-007962-a45560a716f6803b,3,3,K,N,False,N,False,False,-1.4853887557983398
train-005771-32d4e4dc90a4581a,4,1,D,T,False,P,False,False,-1.6673288345336914
train-005771-32d4e4dc90a4581a,4,2,D,Y,False,P,False,False,-1.8514184951782227
train-005771-32d4e4dc90a4581a,4,3,D,B,False,P,False,False,-1.772623062133789
train-005771-32d4e4dc90a4581a,4,4,D,P,False,P,False,False,-1.7137126922607422
train-003584-dcb0ab56c4bed25a,1,1,T,F,False,F,False,False,-0.2922334671020508
train-002065-d4932c6763ee63b0,2,1,G,P,False,T,False,False,-1.9016008377075195
train-002065-d4932c6763ee63b0,2,2,G,T,False,T,False,False,-1.5836906433105469
train-001642-6899983b3808643c,3,1,Q,D,False,J,False,False,-1.6292743682861328
train-001642-6899983b3808643c,3,2,Q,F,False,J,False,False,-0.8329200744628906
train-001642-6899983b3808643c,3,3,Q,J,False,J,False,False,-0.9646396636962891
train-001131-c8e52f8b477ff1f2,4,1,E,G,False,R,False,False,-1.3981361389160156
train-001131-c8e52f8b477ff1f2,4,2,E,Y,False,R,False,False,-1.550241470336914
train-001131-c8e52f8b477ff1f2,4,3,E,B,False,R,False,False,-1.7907896041870117
train-001131-c8e52f8b477ff1f2,4,4,E,R,False,R,False,False,-1.8624753952026367
train-001032-d09d350cd6983b6a,1,1,Q,J,False,J,False,False,-1.2605352401733398
train-006793-0e761e6229b053d6,2,1,B,N,False,M,False,False,-0.8056631088256836
train-006793-0e761e6229b053d6,2,2,Y,M,False,M,False,False,-0.18257713317871094
train-001802-d91f5772d1b2cced,3,1,L,I,False,P,False,False,-0.743067741394043
train-001802-d91f5772d1b2cced,3,2,A,Y,False,P,False,False,-1.134333610534668
train-001802-d91f5772d1b2cced,3,3,A,P,False,P,False,False,-1.3610906600952148
train-007571-8e793e79f69aa0c6,4,1,Q,G,False,C,False,False,-0.9572277069091797
train-007571-8e793e79f69aa0c6,4,2,H,N,False,C,False,False,-0.5082635879516602
train-007571-8e793e79f69aa0c6,4,3,H,B,False,C,False,False,-0.4327068328857422
train-007571-8e793e79f69aa0c6,4,4,A,C,False,C,False,False,-0.3424196243286133
