example_id,task_depth,loop,split,seed,family,initial_state,prediction,intermediate_target,intermediate_correct,final_target,final_correct,post_completion,intermediate_loss,intermediate_margin,final_margin
train-007784-617a2c600ec4e3a3,1,1,train,7023975359913976739,pointer,B,M,M,True,M,True,False,1.0251946150674485e-05,13.363255500793457,13.363255500793457
train-004489-65c0020ea520dc92,2,1,train,7331862455282359442,pointer,B,P,P,True,K,False,False,2.0265558760002023e-06,14.570613861083984,-15.769377708435059
train-004489-65c0020ea520dc92,2,2,train,7331862455282359442,pointer,B,K,K,True,K,True,False,3.0517112463712692e-05,12.34974479675293,12.34974479675293
train-003450-00e626c020401ca6,3,1,train,64781851260099750,pointer,T,G,G,True,V,False,False,5.960462772236497e-07,15.586645126342773,-21.009530067443848
train-003450-00e626c020401ca6,3,2,train,64781851260099750,pointer,T,Z,Z,True,V,False,False,8.284702198579907e-05,10.384966850280762,-13.932382583618164
train-003450-00e626c020401ca6,3,3,train,64781851260099750,pointer,T,V,V,True,V,True,False,0.0011470888275653124,7.436060905456543,7.436060905456543
train-006571-80d4ec6e2c52b48c,4,1,train,9283304689851610252,pointer,L,X,X,True,B,False,False,5.960462772236497e-07,16.628140449523926,-18.295342445373535
train-006571-80d4ec6e2c52b48c,4,2,train,9283304689851610252,pointer,L,G,G,True,B,False,False,4.8874615458771586e-05,11.432380676269531,-12.109643936157227
train-006571-80d4ec6e2c52b48c,4,3,train,9283304689851610252,pointer,L,S,S,True,B,False,False,5.543078441405669e-05,11.380553245544434,-13.154834747314453
train-006571-80d4ec6e2c52b48c,4,4,train,9283304689851610252,pointer,L,B,B,True,B,True,False,0.000863774970639497,8.340989112854004,8.340989112854004
train-009368-248d6f593a53b386,1,1,train,2633883786102944646,pointer,M,U,U,True,U,True,False,1.9550132492440753e-05,12.475854873657227,12.475854873657227
train-007337-544cdf598339848d,2,1,train,6074475572962624653,pointer,Q,S,S,True,C,False,False,0.0001479277852922678,9.313613891601562,-9.313613891601562
train-007337-544cdf598339848d,2,2,train,6074475572962624653,pointer,Q,C,C,True,C,True,False,4.0649541915627196e-05,11.350765228271484,11.350765228271484
train-007962-a45560a716f6803b,3,1,train,11841477066001645627,pointer,K,T,T,True,N,False,False,6.079655122448457e-06,12.607261657714844,-16.605331420898438
train-007962-a45560a716f6803b,3,2,train,11841477066001645627,pointer,K,D,D,True,N,False,False,2.253030106658116e-05,12.049901008605957,-12.486024856567383
train-007962-a45560a716f6803b,3,3,train,11841477066001645627,pointer,K,N,N,True,N,True,False,7.867782187531702e-06,12.545565605163574,12.545565605163574
train-005771-32d4e4dc90a4581a,4,1,train,3662804032929683482,pointer,D,T,T,True,P,False,False,1.764281842042692e-05,12.62499713897705,-14.301170349121094
