example_id,task_depth,loop,split,seed,family,initial_state,prediction,intermediate_target,intermediate_correct,final_target,final_correct,post_completion,intermediate_loss,intermediate_margin,final_margin
train-007784-617a2c600ec4e3a3,1,1,train,7023975359913976739,pointer,B,M,M,True,M,True,False,5.722029527532868e-06,12.89785385131836,12.89785385131836
train-004489-65c0020ea520dc92,2,1,train,7331862455282359442,pointer,B,P,P,True,K,False,False,3.933898824470816e-06,12.850271224975586,-17.670169830322266
train-004489-65c0020ea520dc92,2,2,train,7331862455282359442,pointer,B,K,K,True,K,True,False,4.5536911784438416e-05,11.310173988342285,11.310173988342285
train-003450-00e626c020401ca6,3,1,train,64781851260099750,pointer,T,G,G,True,V,False,False,8.344646857949556e-07,15.42232894897461,-19.576224327087402
train-003450-00e626c020401ca6,3,2,train,64781851260099750,pointer,T,Z,Z,True,V,False,False,2.002696055569686e-05,11.30740737915039,-16.090994834899902
train-003450-00e626c020401ca6,3,3,train,64781851260099750,pointer,T,V,V,True,V,True,False,0.0008197046699933708,7.33323860168457,7.33323860168457
train-006571-80d4ec6e2c52b48c,4,1,train,9283304689851610252,pointer,L,X,X,True,B,False,False,2.3841855067985307e-07,17.302141189575195,-18.871630668640137
train-006571-80d4ec6e2c52b48c,4,2,train,9283304689851610252,pointer,L,G,G,True,B,False,False,3.6000557884108275e-05,11.583657264709473,-13.16042423248291
train-006571-80d4ec6e2c52b48c,4,3,train,9283304689851610252,pointer,L,S,S,True,B,False,False,1.8358061424805783e-05,12.72667121887207,-13.727433204650879
train-006571-80d4ec6e2c52b48c,4,4,train,9283304689851610252,pointer,L,B,B,True,B,True,False,0.00045074793160893023,8.565067291259766,8.565067291259766
train-009368-248d6f593a53b386,1,1,train,2633883786102944646,pointer,M,U,U,True,U,True,False,4.0531076592742465e-06,14.089780807495117,14.089780807495117
train-007337-544cdf598339848d,2,1,train,6074475572962624653,pointer,Q,S,S,True,C,False,False,0.0002522150462027639,8.415985107421875,-8.415985107421875
train-007337-544cdf598339848d,2,2,train,6074475572962624653,pointer,Q,C,C,True,C,True,False,1.2993727978027891e-05,12.65764045715332,12.65764045715332
train-007962-a45560a716f6803b,3,1,train,11841477066001645627,pointer,K,T,T,True,N,False,False,1.7881377516459906e-06,14.440505981445312,-18.19578456878662
train-007962-a45560a716f6803b,3,2,train,11841477066001645627,pointer,K,D,D,True,N,False,False,2.062299427052494e-05,12.461316108703613,-13.450478553771973
train-007962-a45560a716f6803b,3,3,train,11841477066001645627,pointer,K,N,N,True,N,True,False,9.536697689327411e-06,12.654082298278809,12.654082298278809
train-005771-32d4e4dc90a4581a,4,1,train,3662804032929683482,pointer,D,T,T,True,P,False,False,1.5735502529423684e-05,11.932432174682617,-14.84255599975586
train-005771-32d4e4dc90a4581a,4,2,train,3662804032929683482,pointer,D,Y,Y,True,P,False,False,1.490105023549404e-05,12.566635131835938,-15.360518455505371
train-005771-32d4e4dc90a4581a,4,3,train,3662804032929683482,pointer,D,B,B,True,P,False,False,0.0001842805795604363,9.196724891662598,-14.15841293334961
train-005771-32d4e4dc90a4581a,4,4,train,3662804032929683482,pointer,D,P,P,True,P,True,False,0.00018356545479036868,10.045472145080566,10.045472145080566
train-003584-dcb0ab56c4bed25a,1,1,train,15902398673401598554,pointer,T,F,F,True,F,True,False,8.344646857949556e-07,15.232039451599121,15.232039451599121
train-002065-d4932c6763ee63b0,2,1,train,15317635580187009968,pointer,G,P,P,True,T,False,False,7.152555099310121e-07,15.412796020507812,-16.286561965942383
train-002065-d4932c6763ee63b0,2,2,train,15317635580187009968,pointer,G,T,T,True,T,True,False,5.722029527532868e-06,13.53656005859375,13.53656005859375
train-001642-6899983b3808643c,3,1,train,7537222831491802172,pointer,R,D,D,True,J,False,False,0.00018356545479036868,8.633819580078125,-17.98084545135498
train-001642-6899983b3808643c,3,2,train,7537222831491802172,pointer,R,F,F,True,J,False,False,3.2186455882765586e-06,14.20288372039795,-15.817195892333984
train-001642-6899983b3808643c,3,3,train,7537222831491802172,pointer,R,J,J,True,J,True,False,1.0609570381348021e-05,12.700440406799316,12.700440406799316
train-001131-c8e52f8b477ff1f2,4,1,train,14476028852498854386,pointer,E,G,G,True,R,False,False,1.7881377516459906e-06,15.007492065429688,-18.30145835876465
train-001131-c8e52f8b477ff1f2,4,2,train,14476028852498854386,pointer,E,Y,Y,True,R,False,False,4.827859811484814e-05,10.145307540893555,-15.726419448852539
train-001131-c8e52f8b477ff1f2,4,3,train,14476028852498854386,pointer,E,B,B,True,R,False,False,8.487341256113723e-05,10.629819869995117,-13.917933464050293
train-001131-c8e52f8b477ff1f2,4,4,train,14476028852498854386,pointer,E,R,R,True,R,True,False,6.937739817658439e-05,11.715810775756836,11.715810775756836
train-001032-d09d350cd6983b6a,1,1,train,15032229460488764266,pointer,V,J,J,True,J,True,False,2.145764938177308e-06,13.315938949584961,13.315938949584961
train-006793-0e761e6229b053d6,2,1,train,1042053770737898454,pointer,J,N,N,True,M,False,False,2.3841855067985307e-07,16.64178466796875,-17.259674072265625
train-006793-0e761e6229b053d6,2,2,train,1042053770737898454,pointer,J,M,M,True,M,True,False,7.033323527139146e-06,13.7284517288208,13.7284517288208
train-001802-d91f5772d1b2cced,3,1,train,15645319781164436717,pointer,U,I,I,True,P,False,False,8.344646857949556e-07,15.191871643066406,-18.416719436645508
train-001802-d91f5772d1b2cced,3,2,train,15645319781164436717,pointer,U,Y,Y,True,P,False,False,1.2159273865108844e-05,11.730653762817383,-12.81385612487793
train-001802-d91f5772d1b2cced,3,3,train,15645319781164436717,pointer,U,P,P,True,P,True,False,2.9802276912960224e-06,13.800228118896484,13.800228118896484
train-007571-8e793e79f69aa0c6,4,1,train,10266305519117050054,pointer,H,G,G,True,C,False,False,5.960462772236497e-07,15.719017028808594,-15.835105895996094
train-007571-8e793e79f69aa0c6,4,2,train,10266305519117050054,pointer,H,N,N,True,C,False,False,6.556489552167477e-06,12.949518203735352,-15.65384578704834
train-007571-8e793e79f69aa0c6,4,3,train,10266305519117050054,pointer,H,B,B,True,C,False,False,0.0001546025014249608,10.201726913452148,-10.201726913452148
train-007571-8e793e79f69aa0c6,4,4,train,10266305519117050054,pointer,H,C,C,True,C,True,False,0.0007133323233574629,8.659929275512695,8.659929275512695
