example_id,task_depth,loop,split,seed,family,initial_state,prediction,intermediate_target,intermediate_correct,final_target,final_correct,post_completion,intermediate_loss,intermediate_margin,final_margin
train-007784-617a2c600ec4e3a3,1,1,train,7023975359913976739,pointer,B,M,M,True,M,True,False,9.65590606938349e-06,12.641120910644531,12.641120910644531
train-004489-65c0020ea520dc92,2,1,train,7331862455282359442,pointer,B,P,P,True,K,False,False,1.2636104656849056e-05,12.751823425292969,-15.869889259338379
train-004489-65c0020ea520dc92,2,2,train,7331862455282359442,pointer,B,K,K,True,K,True,False,0.0001578206429257989,10.335368156433105,10.335368156433105
train-003450-00e626c020401ca6,3,1,train,64781851260099750,pointer,T,G,G,True,V,False,False,7.009260298218578e-05,10.781033515930176,-15.851616859436035
train-003450-00e626c020401ca6,3,2,train,64781851260099750,pointer,T,Z,Z,True,V,False,False,0.0004219118563923985,9.000524520874023,-12.927294731140137
train-003450-00e626c020401ca6,3,3,train,64781851260099750,pointer,T,V,V,True,V,True,False,0.00044860312482342124,9.409271240234375,9.409271240234375
train-006571-80d4ec6e2c52b48c,4,1,train,9283304689851610252,pointer,L,X,X,True,B,False,False,4.768370445162873e-07,15.925162315368652,-18.45755672454834
train-006571-80d4ec6e2c52b48c,4,2,train,9283304689851610252,pointer,L,G,G,True,B,False,False,0.0005448763840831816,9.627580642700195,-10.621421813964844
train-006571-80d4ec6e2c52b48c,4,3,train,9283304689851610252,pointer,L,S,S,True,B,False,False,7.247662142617628e-05,10.906583786010742,-12.301591873168945
train-006571-80d4ec6e2c52b48c,4,4,train,9283304689851610252,pointer,L,B,B,True,B,True,False,0.00029762129997834563,8.659884452819824,8.659884452819824
train-000548-a9abf14b34a55ca9,5,1,train,12226130918735436969,pointer,Y,N,N,True,A,False,False,4.529942543740617e-06,13.851739883422852,-14.997370719909668
train-000548-a9abf14b34a55ca9,5,2,train,12226130918735436969,pointer,Y,K,K,True,A,False,False,0.0002735478919930756,10.071252822875977,-10.339896202087402
