example_id,task_depth,loop,split,seed,family,initial_state,prediction,intermediate_target,intermediate_correct,final_target,final_correct,post_completion,intermediate_loss,intermediate_margin,final_margin
train-018918-8d17cf9df281e85e,1,1,train,10166822961097599070,pointer,X,E,E,True,E,True,False,0.00022754464589525014,8.41307258605957,8.41307258605957
train-018918-8d17cf9df281e85e,1,2,train,10166822961097599070,pointer,X,A,,,E,False,True,,,-13.78088092803955
train-018918-8d17cf9df281e85e,1,3,train,10166822961097599070,pointer,X,D,,,E,False,True,,,-11.945281028747559
train-018918-8d17cf9df281e85e,1,4,train,10166822961097599070,pointer,X,O,,,E,False,True,,,-9.664274215698242
train-011449-90418c24029556d7,2,1,train,10394743501237868247,pointer,W,Z,Z,True,J,False,False,3.933898824470816e-06,14.169564247131348,-15.88851547241211
train-011449-90418c24029556d7,2,2,train,10394743501237868247,pointer,W,J,J,True,J,True,False,2.8013790142722428e-05,11.990699768066406,11.990699768066406
train-011449-90418c24029556d7,2,3,train,10394743501237868247,pointer,W,A,,,J,False,True,,,-14.263646125793457
train-011449-90418c24029556d7,2,4,train,10394743501237868247,pointer,W,M,,,J,False,True,,,-13.197897911071777
train-004340-eb54913a1a4ca33b,3,1,train,16957338175692120891,pointer,U,M,M,True,L,False,False,5.960446742392378e-06,13.263781547546387,-13.538448333740234
train-004340-eb54913a1a4ca33b,3,2,train,16957338175692120891,pointer,U,R,R,True,L,False,False,2.6702524337451905e-05,12.276415824890137,-12.276415824890137
train-004340-eb54913a1a4ca33b,3,3,train,16957338175692120891,pointer,U,L,L,True,L,True,False,0.00033408781746402383,9.619470596313477,9.619470596313477
train-004340-eb54913a1a4ca33b,3,4,train,16957338175692120891,pointer,U,R,,,L,False,True,,,-8.961827278137207
train-019899-f91350f60647baa1,4,1,train,17947777957599099553,pointer,B,T,T,True,D,False,False,2.50339189733495e-06,14.628670692443848,-14.628670692443848
train-019899-f91350f60647baa1,4,2,train,17947777957599099553,pointer,B,O,O,True,D,False,False,0.00022623363474849612,9.409823417663574,-11.656107902526855
train-019899-f91350f60647baa1,4,3,train,17947777957599099553,pointer,B,X,X,True,D,False,False,4.8397800128441304e-05,11.754544258117676,-12.284674644470215
train-019899-f91350f60647baa1,4,4,train,17947777957599099553,pointer,B,D,D,True,D,True,False,0.000811366830021143,8.029818534851074,8.029818534851074
train-002386-e88ec56ac7c0bf5c,5,1,train,16757548325900697436,pointer,S,Q,Q,True,T,False,False,1.1920922133867862e-06,15.581147193908691,-15.758917808532715
train-002386-e88ec56ac7c0bf5c,5,2,train,16757548325900697436,pointer,S,J,J,True,T,False,False,3.480850500636734e-05,11.512663841247559,-12.632115364074707
train-002386-e88ec56ac7c0bf5c,5,3,train,16757548325900697436,pointer,S,O,O,True,T,False,False,6.007967749610543e-05,11.115067481994629,-12.816375732421875
train-002386-e88ec56ac7c0bf5c,5,4,train,16757548325900697436,pointer,S,Y,Y,True,T,False,False,0.00029059001826681197,8.811278343200684,-11.36313247680664
train-002386-e88ec56ac7c0bf5c,5,5,train,16757548325900697436,pointer,S,T,T,True,T,True,False,0.0009868042543530464,8.810078620910645,8.810078620910645
train-002386-e88ec56ac7c0bf5c,5,6,train,16757548325900697436,pointer,S,U,,,T,False,True,,,-9.944047927856445
train-028313-f2c96a0932a86a65,6,1,train,17494630815234550373,pointer,S,W,W,True,J,False,False,2.264974000354414e-06,14.801419258117676,-17.10259437561035
train-028313-f2c96a0932a86a65,6,2,train,17494630815234550373,pointer,S,Y,Y,True,J,False,False,0.0004260824352968484,8.690696716308594,-12.370895385742188
train-028313-f2c96a0932a86a65,6,3,train,17494630815234550373,pointer,S,H,H,True,J,False,False,0.0017228773795068264,7.9564008712768555,-11.079047203063965
train-028313-f2c96a0932a86a65,6,4,train,17494630815234550373,pointer,S,V,V,True,J,False,False,0.00026925752172246575,10.181231498718262,-12.175947189331055
train-028313-f2c96a0932a86a65,6,5,train,17494630815234550373,pointer,S,Z,Z,True,J,False,False,0.0008580578723922372,8.606019973754883,-11.921256065368652
train-028313-f2c96a0932a86a65,6,6,train,17494630815234550373,pointer,S,J,J,True,J,True,False,0.0008819981012493372,7.961795806884766,7.961795806884766
train-004470-44a976e52705ae16,1,1,train,4947616392217472534,pointer,X,Y,Y,True,Y,True,False,8.702239938429557e-06,12.705718040466309,12.705718040466309
train-004470-44a976e52705ae16,1,2,train,4947616392217472534,pointer,X,R,,,Y,False,True,,,-16.23721694946289
train-004470-44a976e52705ae16,1,3,train,4947616392217472534,pointer,X,B,,,Y,False,True,,,-15.118135452270508
